handle,type,packsize,cost,razorCost,url
0,pp,4,21.18,5.295,https://www.ebay.co.uk/itm/164191982298
0,pp,4,21.46,5.365,https://www.ebay.co.uk/itm/232612510361
0,pp,3,16.14,5.38,https://www.perfumespremium.co.uk/gillette-carg-fus-proglide-power-3u
0,pp,4,21.88,5.47,https://www.ebay.co.uk/itm/254131264785
0,pp,4,21.89,5.4725,https://www.ebay.co.uk/itm/254131264785
0,pp,4,21.95,5.4875,https://www.amazon.co.uk/dp/B01N6QNYNV
0,pp,4,21.96,5.49,https://www.amazon.co.uk/dp/B01BQCIXAO
0,pp,4,21.96,5.49,https://www.amazon.co.uk/dp/B00OYRVPSG
0,pp,4,21.96,5.49,https://www.amazon.co.uk/dp/B01MDSIE7R
0,pp,4,21.96,5.49,https://www.amazon.co.uk/dp/B0193UQQIC
0,ps,4,22.28,5.57,https://www.ebay.co.uk/itm/333578292454
0,ps,1,5.67,5.67,https://www.ebay.co.uk/itm/353456589828
0,pc,6,34.05,5.675,https://www.amazon.co.uk/dp/B085Y2ZS97
0,op,2,11.38,5.69,https://www.ebay.co.uk/itm/133148656407
0,op,2,11.68,5.84,https://www.ebay.co.uk/itm/363274651666
0,ps,4,23.44,5.86,https://www.ebay.co.uk/itm/124559224618
0,pc,6,35.18,5.863333333333333,https://www.amazon.co.uk/dp/B07H3L9R3D
1,ps,1,5.98,5.98,https://www.ebay.co.uk/itm/383374109309
0,op,1,5.99,5.99,https://www.amazon.co.uk/dp/B007XS7DWU
0,op,1,5.99,5.99,https://www.amazon.co.uk/dp/B00AVVSY1U
0,op,4,25.2,6.3,https://www.ebay.co.uk/itm/224302048662
1,pp,6,37.9,6.316666666666666,https://www.ebay.co.uk/itm/221689178746
0,pp,4,25.39,6.3475,https://www.ebay.co.uk/itm/263497630069
4,pp,4,25.8,6.45,https://www.ebay.co.uk/itm/124559213066
1,pp,2,12.98,6.49,https://www.ebay.co.uk/itm/153672756184
0,op,1,6.5,6.5,https://www.ebay.co.uk/itm/233791063172
0,op,1,6.5,6.5,https://www.ebay.co.uk/itm/274307487568
0,op,2,13.12,6.56,https://www.amazon.co.uk/dp/B07L7QZ4SY
0,pc,8,52.79,6.59875,https://www.amazon.co.uk/dp/B06WD1KN2G
0,op,1,6.6,6.6,https://www.ebay.co.uk/itm/233929673482
0,pp,4,26.44,6.61,https://www.ebay.co.uk/itm/383394148790
0,op,1,6.64,6.64,https://www.ebay.co.uk/itm/402548818364
0,pp,3,19.97,6.656666666666666,https://www.biuky.co.uk/man/gillette/p-58644
1,pp,5,33.3,6.659999999999999,https://www.ebay.co.uk/itm/321647871695
0,op,3,19.99,6.663333333333333,https://www.amazon.co.uk/dp/B08FXKLZPD
0,ps,1,6.85,6.85,https://www.ebay.co.uk/itm/203301034064
0,ps,8,55.9,6.9875,https://www.amazon.co.uk/dp/B06VT6TGN1
0,ps,1,6.99,6.99,https://www.ebay.co.uk/itm/292929437016
0,ps,1,6.99,6.99,https://www.ebay.co.uk/itm/133666921373
0,ps,1,7,7,https://www.ebay.co.uk/itm/193789545060
0,ps,1,7,7,https://www.ebay.co.uk/itm/174238813520
0,pp,4,28.66,7.165,https://www.ebay.co.uk/itm/392758828365
0,op,1,7.2,7.2,https://www.ebay.co.uk/itm/174654700539
0,op,4,29.04,7.26,https://www.ebay.co.uk/itm/224345723352
0,op,4,29.04,7.26,https://www.ebay.co.uk/itm/353315242580
0,pp,4,29.29,7.3225,https://www.amazon.co.uk/dp/B01FMDDD0I
0,pp,12,88.99,7.415833333333333,https://www.ebay.co.uk/itm/383247890212
0,pp,4,29.7,7.425,https://www.fruugo.co.uk/gillette-spare-parts-for-fusion-proglide-power/p-46493593-93367544
0,op,1,7.45,7.45,https://www.ebay.co.uk/itm/124402635184
0,op,2,14.99,7.495,https://www.amazon.co.uk/dp/B00766WTGO
0,pp,8,59.99,7.49875,https://www.ebay.co.uk/itm/333571883329
0,op,1,7.5,7.5,https://www.ebay.co.uk/itm/113752730873
0,pp,8,63.07,7.88375,https://www.ebay.co.uk/itm/114125842564
0,p,4,31.75,7.9375,https://www.amazon.co.uk/dp/B00KA6STIO
0,ps,1,7.94,7.94,https://www.ebay.co.uk/itm/133674431103
0,op,1,7.94,7.94,https://www.ebay.co.uk/itm/303164550475
0,op,1,7.94,7.94,https://www.ebay.co.uk/itm/192336893732
0,op,1,7.95,7.95,https://www.ebay.co.uk/itm/193754236471
0,op,1,7.99,7.99,https://www.amazon.co.uk/dp/B0151I9VIW
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203304548617
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203304940248
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203301552662
0,op,1,7.99,7.99,https://www.ebay.co.uk/itm/333783248832
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203300100509
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203299203753
0,op,1,7.99,7.99,https://www.ebay.co.uk/itm/284073070472
0,pc,1,7.99,7.99,https://www.ebay.co.uk/itm/192966701610
0,op,1,7.99,7.99,https://www.ebay.co.uk/itm/124195948761
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203283815529
0,ps,1,7.99,7.99,https://www.ebay.co.uk/itm/203283784857
0,ps,1,8,8,https://www.ebay.co.uk/itm/133605520760
0,op,1,8,8,https://www.ebay.co.uk/itm/324471788362
0,op,1,8,8,https://www.ebay.co.uk/itm/284194384469
0,op,1,8.09,8.09,https://www.ebay.co.uk/itm/203213393617
0,ps,1,8.1,8.1,https://www.ebay.co.uk/itm/233631324647
0,op,1,8.1,8.1,https://www.ebay.co.uk/itm/174557885822
0,ps,1,8.4,8.4,https://www.ebay.co.uk/itm/114647776540
0,op,1,8.66,8.66,https://www.amazon.co.uk/dp/B0792S2Q7B
0,ps,1,8.7,8.7,https://www.ebay.co.uk/itm/333250620793
0,p,1,8.75,8.75,https://www.sainsburys.co.uk/gol-ui/product/gillette-proglide-flexball-manual-razor
